,National Model,Reversals,Min,Average,Max,Range
QAGEDEP_ACS,+,0,1.0,10.45,24.0,23.0
QFEMALE_ACS,+,9,1.0,8.05,28.0,27.0
QSERV_ALT,+,3,1.0,12.05,26.0,25.0
QHISP_ACS,+,3,2.0,10.68,28.0,26.0
QFEMLBR,+,4,1.0,11.32,25.0,24.0
QNATAM_ACS,+,9,1.0,9.45,28.0,27.0
QESL_ALT,+,4,1.0,11.09,27.0,26.0
QSSBEN,+,0,3.0,11.59,21.0,18.0
QNOAUTO_ALT,+,0,1.0,13.82,28.0,27.0
QMOHO,-,12,2.0,15.05,27.0,25.0
QPOVTY,+,0,3.0,11.68,27.0,24.0
QNRRES_ACS,+,4,1.0,10.27,22.0,21.0
- QFAM,+,2,1.0,13.64,28.0,27.0
QUNOCCHU_ACS,+,6,1.0,10.86,20.0,19.0
- PERCAP_ALT,+,3,9.0,18.32,28.0,19.0
BLACK_ACS,-,12,3.0,17.23,28.0,25.0
- MDGRENT_ALT,+,1,8.0,18.23,27.0,19.0
- QRICH200K,+,6,3.0,19.14,27.0,24.0
MEDAGE_ACS,+,1,8.0,18.23,28.0,20.0
QFHH_ACS,+,6,2.0,17.5,28.0,26.0
PRENTER_ACS,+,7,3.0,18.68,27.0,24.0
POPDENS,+,3,4.0,16.14,26.0,22.0
QCVLUN,-,15,1.0,13.82,23.0,22.0
- MHSEVAL_ALT,+,4,5.0,19.5,28.0,23.0
QED12LES_ALT,+,2,4.0,15.45,28.0,24.0
QEXTRCT_ALT,+,6,1.0,18.09,28.0,27.0
QASIAN_ACS,-,14,4.0,19.09,28.0,24.0
QPUNIT_ACS,+,14,2.0,16.59,28.0,26.0
